Rk,School,Conf,ConfStr,AdjEM,AdjO,SDO,AdjD,SDD,AdjT,SDP,Record,Home,Neutral,Away,Q1,Q2,Q3,Q4
84.0,Sam Houston State,WAC,0.03782258205318101,8.71494654070868,102.1597540929669,14.018983728080045,93.44480755225823,17.186405826050606,67.05082605384506,17.186405826050606,[22-8],[8-1],[3-1],[11-6],[0-2],[2-2],[7-3],[13-1]
85.0,Duquesne,A-10,2.5930691894415645,8.449669139102014,107.54686207530872,16.47251376583638,99.09719293620671,18.201154858512258,70.93314422701062,18.201154858512258,[20-13],[16-4],[1-2],[3-7],[0-3],[3-2],[6-5],[11-3]
86.0,Ohio,MAC,0.41303669242816454,8.41130148870674,110.68203678733215,14.845997705894286,102.27073529862541,16.43306934137678,68.19889852511446,16.43306934137678,[18-14],[13-1],[1-2],[4-11],[1-6],[1-2],[4-4],[12-2]
87.0,Montana State,Big Sky,-0.9188566362659714,8.33010438387494,105.1816389477611,14.906936588053302,96.85153456388616,16.438481856381355,65.7871014601991,16.438481856381355,[23-10],[10-1],[3-4],[10-5],[0-1],[1-4],[7-4],[15-1]
88.0,Towson,CAA,-3.54890206421814,8.277034606383339,107.90249024844775,13.635216818886368,99.62545564206441,16.410758875815638,67.07660204346615,16.410758875815638,[21-12],[10-2],[3-3],[8-7],[1-5],[3-0],[4-5],[13-2]
89.0,Texas Tech,Big 12,10.754673828542224,8.2520779197787,105.87008785293628,16.51711630958269,97.61800993315758,17.99399929027156,71.3688926549913,17.99399929027156,[16-16],[11-6],[2-3],[3-7],[2-7],[2-7],[4-2],[8-0]
90.0,Samford,Southern,0.607138182247013,8.233100374727158,109.47249675317128,12.818117978378355,101.23939637844413,15.300478125703703,68.97102932024703,15.300478125703703,[18-11],[10-3],[0-1],[8-7],[1-2],[2-3],[4-2],[11-4]
91.0,Louisiana,Sun Belt,1.3382678718964485,8.07726495790888,108.23154451385773,11.633536171530722,100.15427955594885,14.397953481253028,71.16170143956272,14.397953481253028,[23-8],[11-0],[5-1],[7-7],[1-4],[2-2],[8-1],[12-1]
92.0,South Alabama,Sun Belt,1.3382678718964485,7.922857807326594,105.91557330141089,17.523323053803036,97.9927154940843,19.401036588319535,68.52182035052759,19.401036588319535,[17-16],[8-4],[5-2],[4-10],[0-4],[3-5],[5-4],[9-3]
93.0,Wake Forest,ACC,6.458574349571919,7.9105499462146724,108.53342142646034,12.902142493785835,100.62287148024566,14.034360377146145,71.43830421758416,14.034360377146145,[19-14],[13-3],[2-3],[4-8],[1-10],[5-1],[3-1],[10-2]
